KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
B66.1    ,Klonorchóza,"Choroba zapríčinená čínskou pečeňovou motolicou 
Infekcia zapríčinená Clonorchis sinensis 
Choroba zapríčinená orientálnou pečeňovou motolicou"
B66.2    ,Dikrocelióza,"Infekcia zapríčinená Dicrocoelium dendriticum 
Infekcia lancetovou motolicou"
B66.3    ,Fasciolóza,"Infekcia zapríčinená:  
• Fasciola gigantica 
• Fasciola hepatica 
• Fasciola indica 
Choroba zapríčinená pečeňovou motolicou 
Choroba oviec zapríčinená pečeňovou motolicou"
B66.4    ,Paragonimóza,"Infekcia zapríčinená druhom Paragonimus 
Choroba zapríčinená pľúcnou motolicou 
Pľúcna distomatóza"
B66.5    ,Fasciolopsóza,"Choroba zapríčinená črevnou motolicou 
Infekcia zapríčinená Fasciolopsis buski 
Intestinálna distomatóza"
B66.8    ,"Iná infekcia motolicou, bližšie určená","Echinostomatóza 
Heterophyiáza 
Metagonimiáza 
Nanophetiáza 
Watsoniáza"
B66.9    ,"Infekcia motolicou, bližšie neurčená",
B67.-    ,Echinokokóza,"Patrí sem:  
Hydatidóza"
B67.0    ,Cystická echinokokóza pečene zapríčinená Echinococcus granulosus,
B67.1    ,Cystická echinokokóza pľúc zapríčinená Echinococcus granulosus,
B67.2    ,Cystická echinokokóza kostí zapríčinená Echinococcus granulosus,
B67.3    ,Cystická echinokokóza zapríčinená Echinococcus granulosus na viacerých a na iných miestach,
B67.4    ,"Cystická echinokokóza zapríčinená Echinococcus granulosus, bližšie neurčená",
B67.5    ,Alveolová echinokokóza pečene zapríčinená Echinococcus multilocularis,
B67.6    ,Alveolová echinokokóza zapríčinená Echinococcus multilocularis na iných a na viacerých miestach,
B67.7    ,"Alveolová echinokokóza zapríčinená Echinococcus multilocularis, bližšie neurčená",
B67.8    ,"Echinokokóza pečene, bližšie neurčená",
B67.9    ,"Iná echinokokóza, bližšie neurčená",
B68.-    ,Tenióza,"Nepatrí sem:  
Cysticerkóza (B69.-)"
B68.0    ,Tenióza zapríčinená Taenia solium,Infekcia prasačou pásomnicou
B68.1    ,Tenióza zapríčinená Taenia saginata,"Infekcia zapríčinená (dospelou) pásomnicou Taenia saginata 
Infekcia hovädzou pásomnicou"
B68.9    ,"Tenióza, bližšie neurčená",
B69.-    ,Cysticerkóza,"Patrí sem:  
Infekcia zapríčinená larvami prasačej pásomnice"
B69.0    ,Cysticerkóza centrálnej nervovej sústavy,
B69.1    ,Cysticerkóza oka,
B69.8    ,Cysticerkóza na iných miestach,
B69.9    ,"Cysticerkóza, bližšie neurčená",
B70.-    ,Difylobotrióza a sparganóza,
B70.0    ,Difylobotrióza,"Infekcia škárovcom širokým 
Infekcia zapríčinená dospelou formou Diphyllobothrium latum (pacificum) 
Nepatrí sem:  
Napadnutie larvami Dphylobotrium (B70.1)"
B70.1    ,Sparganóza,"Postihnutie zapríčinené larvami Diphyllobothrium 
Infekcia, zapríčinená:  
• Sparganum (mansoni) (proliferum) 
• larvami spirometra 
Spirometrióza"
B71.-    ,Iná infekcia plochými červami,
B71.0    ,Hymenolepóza,"Infekcia potkaňou pásomnicou 
Infekcia trpasličou pásomnicou"
B71.1    ,Dipylidióza,Dipylidiáza
B71.8    ,"Iná infekcia plochými červami, bližšie určená",Cenuróza
B71.9    ,"Infekcia plochými červami, bližšie neurčená","Infekcia plochými červami, bližšie neurčená"
B72      ,Drakunkulóza,"Patrí sem:  
Infekcia zapríčinená Dracunculus medinensis 
Infekcia zapríčinená quinejským červom"
B73      ,Onchocerkóza,"Patrí sem:  
Riečna slepota 
Infekcia zapríčinená Onchocerca volvulus 
Onchocerkóza"
B74.-    ,Filarióza,"Nepatrí sem: 
Onchocerkóza (B73) 
Tropická (pulmonálna) eozinofília, bližšie neurčená (J82)"
B74.0    ,Filarióza zapríčinená Wuchereria bancrofti,"Elefantiáza zapríčinená Wuchereria bancrofti 
Lymfatická filarióza"
B74.1    ,Filarióza zapríčinená Brugia malayi,
B74.2    ,Filarióza zapríčinená Brugia timori,
B74.3    ,Loióza,"Africká choroba očným červom 
Kalabarský opuch 
Filarióza loa loa"
B74.4    ,Mansonelóza,"Infekcia zapríčinená Mansonella:  
• Mansonella ozzardi 
• Mansonella perstans  [Dipetalonema perstans]  
• Mansonella streptocerca"
B74.8    ,Iná filarióza,Dirofilarióza
B74.9    ,"Filarióza, bližšie neurčená",
B75      ,Trichinelóza,"Patrí sem:  
Infekcia zapríčinená druhom Trichinela 
Trichinóza"
B76.-    ,Ankylostomóza a nekatoróza,"Patrí sem:  
Uncinariáza"
B76.0    ,Ankylostomóza,Infekcia zapríčinená druhom Ankylostoma
B76.1    ,Nekatoróza,Infekcia zapríčinená Necator americanus
B76.8    ,Iná ankylostómóza a nekatoróza,
B76.9    ,"Ankylostomóza a nekatoróza, bližšie neurčená","Kožná larva migrans, bližšie neurčená"
B77.-    ,Askaridóza,"Patrí sem:  
Askariáza 
Askaridiáza 
Škrkavková infekcia"
B77.0    ,Askaridóza s črevnými komplikáciami,
B77.8    ,Askaridóza s inými komplikáciami,
B77.9    ,"Askaridóza, bližšie neurčená",
B78.-    ,Strongyloidóza,"Nepatrí sem:  
Trichostrongylóza (B81.2)"
B78.0    ,Črevná strongyloidóza,
B78.1    ,Kožná strongyloidóza,
B78.7    ,Diseminovaná strongyloidóza,
B78.9    ,"Strongyloidóza, bližšie neurčená",
B79      ,Trichuridóza,"Patrí sem:  
Patrí sem: 
(Choroba) (infekcia) bičíkovým červom  
Trichocefaliáza"
B80      ,Enterobióza,"Patrí sem:  
Hlístová infekcia 
Infekcia zapríčinená mrľou detskou 
Oxyuriáza"
B81.-    ,"Iná črevná helmintóza, nezatriedená inde","Nepatrí sem:  
Angiostrongylóza zapríčinená Angiostrongylus cantonensis  (B83.2) 
Angiostrongylóza zapríčinená Parastrongylus cantonensis (B83.2) "
B81.0    ,Anisakidóza,
B81.1    ,Črevná kapilarióza,"Infekcia zapríčinená Capillaria philippinensis 
Kapilarióza, bližšie neurčená 
Nepatrí sem:  
Kapilarióza pečene (B83.8)"
B81.2    ,Trichostrongylóza,
B81.3    ,Črevná angiostrongylóza,"Angiostrongylóza zapríčinená Agiostrongylus costaricensis 
Angiostrongylóza zapríčinená Parastrongylus costaricensis"
B81.4    ,Zmiešaná črevná helmintóza,"Helmintóza, zmiešané formy, bližšie neurčená 
Infekcie zapríčinené črevnými červami, zatriedenými do viac ako jednej z kategórií B65.0 – B81.3 a B81.8"
B81.8    ,"Iná črevná helmintóza, bližšie určená","Infekcia zapríčinená:  
• druhmi Oesophagostomus [Oesophagostomiasis]  
• Ternidens deminutus [Ternidensiasis]  
• Ternidens diminutus  [Ternidensiasis] "
B82.-    ,"Črevná parazitóza, bližšie neurčená",
B82.0    ,"Črevná helmintóza, bližšie neurčená",
B82.9    ,"Črevná parazitóza, bližšie neurčená",
B83.-    ,Iná helmintóza,"Nepatrí sem:  
Kapilarióza:  
• črevná (B81.1) 
• bližšie neurčená (B81.1)"
B83.0    ,Viscerálna larva migrans,Toxokaróza
B83.1    ,Gnatostomóza,
B83.2    ,Angiostrongylóza zapríčinená Parastrongylus cantonensis,"Angiostrongylóza zapríčinená Angiostrongylus cantonensis 
Eozinofilná meningoencefalitída† (G05.2*) 
Nepatrí sem:  
Črevná angiostrongylóza (B81.3)"
B83.3    ,Syngamidóza,Syngamóza
B83.4    ,Vnútorná hirudinóza,"Nepatrí sem:  
Vonkajšia hirudinóza (B88.3)"
B83.8    ,"Iná helmintóza, bližšie určená","Akantocefalóza 
Gongylonemióza 
Kapilarióza pečene 
Metastrongylóza 
Telazióza"
B83.9    ,"Helmintóza, bližšie neurčená","Červy, bližšie neurčené 
Nepatrí sem:  
Črevná helmintóza, bližšie neurčená (B82.0)"
B85-B89  ,"Zavšivenie [Pedikulóza], svrab [Akarióza] a iné zamorenia",
B85.-    ,Zavšivenie [Pedikulóza a Ftirióza],
B85.0    ,Pedikulóza zapríčinená Pediculus humanus capitis,Postihnutie všou hlavovou
B85.1    ,Pedikulóza zapríčinená Pediculus humanus corporis,Postihnutie všou telovou
B85.2    ,"Pedikulóza, bližšie neurčená",
B85.3    ,Ftirióza,"Postihnutie:  
• všou lonovou 
• phthirus pubis"
B85.4    ,Zmiešaná pedikulóza a ftirióza,Zamorenie zaraditeľné do viac ako jednej z kategórií B85.0 –B85.3 
B86      ,Scabies,"Patrí sem:  
Svrab"
B87.-    ,Myióza,"Patrí sem:  
Napadnutie mušími larvami"
B87.0    ,Myióza kože,Larva migrans
B87.1    ,Myióza rany,"Kožná myióza, úrazová"
B87.2    ,Myióza oka,
B87.3    ,Myióza nosohltana,Hrtanová myióza
B87.4    ,Myióza ucha,
B87.8    ,Myióza na iných miestach,"Enteromyióza 
Urogenitálna myióza"
B87.9    ,"Myióza, bližšie neurčená",
B88.-    ,Iné zamorenie,
B88.0    ,Iná akarióza,"Dermatitída zapríčinená:  
• druhmi Demodex 
• Dermanyssus gallinae 
• Liponyssoides sanguineus 
Dermatitída Milben 
Trombikulóza 
Nepatrí sem:  
Scabies (B86)"
B88.1    ,Tungióza,Zamorenie pieskovou blchou
B88.2    ,Iné zamorenie článkonožcami,Skarabóza
B88.3    ,Vonkajšia hirudinóza,"Postihnutie pijavicou, bližšie neurčené 
Nepatrí sem:  
Hirudinosis interna (B83.4)"
B88.8    ,"Iné zamorenie, bližšie určenými ektoparazitmi","Ichtyoparazitizmus zapríčinený Vandellia cirrhosa 
Lingvatulóza 
Porocefalóza"
B88.9    ,Zamorenie bližšie neurčenými ektoparazitmi,"Postihnutie roztočmi, bližšie neurčené 
Kožné parazity, bližšie neurčené"
B89      ,"Parazitová choroba, bližšie neurčená",
L53.8,"Iná erytémová choroba, bližšie určená",
L53.9,"Erytémová choroba, bližšie neurčená","Erytém, bližšie neurčený 
Erytrodermia, bližšie neurčená"
L54.-*,Erytém pri chorobách zatriedených inde,
L54.0*,Erythema marginatum pri akútnej reumatickej horúčke,
L54.8*,Erytém pri iných chorobách zatriedených inde,
T05.5,Úrazová amputácia oboch dolných končatín (ktorákoľvek úroveň),
B90-B94  ,Následky infekčných a parazitových chorôb,"Poznámka: Kategórie B90 – B94 sa použijú na vyjadrenie, že chorobné stavy uvedené pod A00 – B89 zapríčinili inde zatriedené následky. K následkom patria chorobné stavy takto označené vrátane neskorých následkov chorôb, ktoré sú zatriedené v predchádzajúcich kategóriách, keď je zrejmé, že sama choroba už nejestvuje. Pre potreby DRG systému sa použitie  týchto  kódov riadi podľa Pravidiel kódovania  chorôb a výkonov v DRG systéme."
B90.-    ,Následky tuberkulózy,
B90.0    ,Následky tuberkulózy centrálnej nervovej sústavy,
B90.1    ,Následky tuberkulózy močovopohlavnej sústavy,
B90.2    ,Následky tuberkulózy kostí a kĺbov,
B90.8    ,Následky tuberkulózy iných orgánov,
B90.9    ,Následky respiračnej a bližšie neurčenej tuberkulózy,"Následky tuberkulózy, bližšie neurčené"
B91      ,Následky poliomyelitídy,"Nepatrí sem:  
Nepatrí sem: 
Postpoliomyelitický syndróm (G14)"
B92      ,Následky lepry,
B94.-    ,Následky iných a bližšie neurčených infekčných a parazitových chorôb,
B94.0    ,Následky trachómu,
B94.1    ,Následky vírusovej encefalitídy,
B94.2    ,Následky vírusovej hepatitídy,
B94.8    ,Následky iných bližšie určených infekčných a parazitových chorôb,
B94.9    ,Následky bližšie neurčených infekčných alebo parazitových chorôb,
B95-B98  ,"Baktérie, vírusy a iní infekční pôvodcovia ako príčina chorôb zatriedených inde",Poznámka: Tieto kategórie sa nikdy nemajú použiť pri primárnom kódovaní. Slúžia ako doplňujúce alebo doadatkové kódy na vyznačenie vyvolávateľa chorôb zatriedených inde.
B95.-!   ,Streptokok a stafylokok ako príčina chorôb zatriedených inde,
B95.0!   ,Streptokok skupiny A ako príčina chorôb zatriedených inde,
B95.1!   ,Streptokok skupiny B ako príčina chorôb zatriedených inde,
B95.2!   ,Streptokok skupiny D ako príčina chorôb zatriedených inde,
B95.3!   ,Streptococcus pneumoniae ako príčina chorôb zatriedených inde,
B95.41!  ,Streptokok skupiny C ako príčina chorôb zatriedených inde,
B95.42!  ,Streptokok skupiny G ako príčina chorôb zatriedených inde,
B95.48!  ,"Iný streptokok, bližšie určený, ako príčina chorôb zatriedených inde",
B95.5!   ,"Streptokok, bližšie neurčený, ako príčina chorôb zatriedených inde",
B95.6!   ,Staphylococcus aureus ako príčina chorôb zatriedených inde,
B95.7!   ,Iný stafylokok ako príčina chorôb zatriedených inde,
B95.8!   ,"Stafylokok, bližšie neurčený, ako príčina chorôb zatriedených inde",
B95.90!  ,"Iný grampozitívny aeróbny mikroorganizmus, bližšie určený, ako príčina chorôb zatriedených inde",Korynebaktérie
B95.91!  ,"Iný grampozitívny aneróbny nesporulujúci mikroorganizmus, bližšie určený, ako príčina chorôb zatriedených inde","Peptostreptokoky 
Propionibaktérie"
B96.-!   ,Iné baktérie ako príčina chorôb zatriedených inde,
B96.0!   ,Mykoplazma a ureaplazma ako príčina chorôb zatriedených inde,"Mycoplasma pneumoniae ako príčina chorôb zatriedených inde 
Pleuropneumonia-like-organism [PPLO] ako príčina chorôb zatriedených inde"
B96.2!   ,Escherichia coli  [E. coli] a iné Enterobacteriacae ako príčina chorôb zatriedených inde,"Enterobacter  
Klebsiella  
Morganella  
Proteus  
Serratia "
B96.3!   ,Haemophilus a Moraxella ako príčina chorôb zatriedených inde,"HACEK - skupina  [Haemophilus, Actinobacillus, Cardiobacterium hominis, Eikenella, Kingella] ako príčina chorôb zatriedených inde 
Haemophilus influenzae [H. influenzae]  "
B96.5!   ,Pseudomonas a iná nefermentujúca baktéria ako príčina chorôb zatriedených inde,"Acinetobacter  
Burkholderia  
Pseudomonas aeruginosa  
Stenotrophomonas "
B96.6!   ,Bacteroides fragilis [B. fragilis] a iná gramnegatívna anaeróbna baktéria ako príčina chorôb zatriedených inde,
B96.7!   ,Clostridium perfringens [C. perfringens] a iná grampozitívna sporulujúca anaeróbna baktéria ako príčina chorôb zatriedených inde,
B96.8!   ,"Iná baktéria, bližšie určená, ako príčina chorôb zatriedených inde",
B97.-!   ,Vírus ako príčina chorôb zatriedených inde,
B97.0!   ,Adenovírus ako príčina chorôb zatriedených inde,
B97.1!   ,Enterovírus ako príčina chorôb zatriedených inde,"Vírus Coxackie  
Vírus ECHO "
B97.2!   ,Koronavírus ako príčina chorôb zatriedených inde,
B97.3!   ,Retrovírus ako príčina chorôb zatriedených inde,"Lentivírus  
Onkovírus "
B97.4!   ,Respiračný syncytiálny vírus [RS-Virus] ako príčina chorôb zatriedených inde,
B97.5!   ,Reovírus ako príčina chorôb zatriedených inde,
B97.6!   ,Parvovírus ako príčina chorôb zatriedených inde,
B97.7!   ,Papilomavírus ako príčina chorôb zatriedených inde,
B97.8!   ,Iný vírus ako príčina chorôb zatriedených inde,
B98.-!   ,"Iný infekčný pôvodca, bližšie určený, ako príčina chorôb zatriedených inde",
B98.0!   ,Helicobacter pylori [H. pylori] ako príčina chorôb zatriedených inde,
B98.1!   ,Vibrio vulnificus ako príčina chorôb zatriedených inde,
B99-B99  ,Iné infekčné choroby,
B99      ,"Iná infekčná choroba, bližšie neurčená",
C32.1    ,Zhubný nádor supraglottis,"Zhubný nádor aryepiglotickej krkvy, hrtanová strana 
Zhubný nádor bližšie neurčenej (suprahyoidovej, nadjazykovej) časti epiglottis 
Zhubný nádor zadnej (hrtanovej) plochy epiglottis 
Zhubný nádor plica vestibularis 
Zhubný nádor nepravých hlasivkových väzov 
Zhubný nádor predsiene hrtana 
Nepatrí sem:  
Zhubný nádor aryepiglotickej krkvy:  
• hypofaryngová strana (C13.1) 
• okrajová zóna (C13.1) 
• bez bližšieho určenia (C13.1) 
 Zhubný nádor prednej plochy epiglottis (C10.1)"
C32.2    ,Zhubný nádor subglottis,
C32.3    ,Zhubný nádor hrtanovej chrupky,
C32.8    ,Zhubný nádor hrtana presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C32.9    ,"Zhubný nádor hrtana, bližšie neurčený",
C33      ,Zhubný nádor priedušnice,
C34.-    ,Zhubný nádor priedušiek a pľúc,
C34.0    ,Zhubný nádor hlavnej priedušky,"Zhubný nádor kariny priedušnice [carina tracheae] 
Zhubný nádor pľúcneho hilu"
C34.1    ,Zhubný nádor priedušky alebo pľúc v hornom laloku,
C34.2    ,Zhubný nádor priedušky alebo pľúc v strednom laloku,
C34.3    ,Zhubný nádor priedušky alebo pľúc v dolnom laloku,
C34.8    ,Zhubný nádor priedušky alebo pľúc presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C34.9    ,"Zhubný nádor priedušky alebo pľúc, bližšie neurčený",
C37      ,Zhubný nádor týmusu,
C38.-    ,"Zhubný nádor srdca, medzihrudia (mediastína) a pohrudnice","Nepatrí sem:  
Mezotelióm (C45.-)"
C38.0    ,Zhubný nádor srdca,"Zhubný nádor perikardu 
Nepatrí sem:  
Zhubný nádor veľkých ciev (C49.3)"
C38.1    ,Zhubný nádor predného mediastína,
C38.2    ,Zhubný nádor zadného mediastína,
C38.3    ,Zhubný nádor bližšie neurčenej časti mediastína,
C38.4    ,Zhubný nádor pohrudnice,
C38.8    ,"Zhubný nádor srdca, mediastína a pohrudnice presahujúci viaceré oblasti",[Pozri poznámku 5 na začiatku tejto kapitoly]
C39.-    ,Zhubný nádor iných a nepresne určených miest dýchacej sústavy a vnútrohrudníkových orgánov,"Nepatrí sem:  
Zhubný nádor bližšie neurčenej časti vnútrohrudného priestoru (C76.1) 
Zhubný nádor bližšie neurčenej časti hrudníka (C76.1)"
C39.0    ,Zhubný nádor bližšie neurčenej časti horných dýchacích ciest,
C39.8    ,Zhubný nádor dýchacích a vnútrohrudníkových orgánov presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor dýchacích a vnútrohrudníkových orgánov, ktorého miesto vzniku nemožno zatriediť pod žiadnu z položiek C30 – C39.0 "
C39.9    ,Zhubný nádor na nepresne určených miestach dýchacej sústavy,"Zhubný nádor dýchacích orgánov,bližšie neurčený"
C40-C41  ,Zhubné nádory kostí a kĺbovej chrupky,"Nepatrí sem:  
Zhubný nádor kostnej drene (C96.7) 
Zhubný nádor synoviálnej blany (C49.-)"
C40.-    ,Zhubný nádor kosti a kĺbovej chrupky končatín,
C40.0    ,Zhubný nádor kosti a klbovej chrupky lopatky a dlhých kostí hornej končatiny,
C40.1    ,Zhubný nádor kosti a klbovej chrupky krátkych kostí hornej končatiny,
C40.2    ,Zhubný nádor kosti a klbovej chrupky dlhých kostí dolnej končatiny,
C40.3    ,Zhubný nádor kosti a klbovej chrupky krátkych kostí dolnej končatiny,
C40.8    ,Zhubný nádor kosti a kĺbovej chrupky končatín presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C40.9    ,"Zhubný nádor kosti a kĺbovej chrupky končatiny, bližšie neurčený",
C41.-    ,Zhubný nádor kosti a kĺbovej chrupky na iných a bližšie neurčených miestach,"Nepatrí sem:  
Zhubný nádor kosti končatín (C40.-) 
Zhubný nádor chrupky:  
• končatín (C40.-) 
• hrtana (C32.3) 
• nosa (C30.0) 
• ucha (C49.0)"
C41.01   ,Zhubný nádor kosti a kĺbovej chrupky v kraniofaciálnej oblasti,"Zhubný nádor kostí očnice  
Zhubný nádor:  
• os ethmoidale 
• os frontale 
• os occipitale 
• os parietale 
• os sphenoidale 
• os temporale"
